"CNTR_CODE","CNTR_NAME","CNTR_CODE_iso2","CNTR_CODE_iso3","CNTR_CODE_Eurostat","NUTS2","NAME","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"BE","Belgium","BE","BEL","BE","BE21","Prov. Antwerpen",3928.40037895504,383.614548698303,65621.9712676318,6446.43667222337,17934.7744328079,14055.4980066066,33608.8628388389,3100.05058402347,1924.21931098258,5566.06305358696,13924.7606116964,170526.050461378,47917.8120022588,3030.91719718612
"BE","Belgium","BE","BEL","BE","BE22","Prov. Limburg (BE)",1809.6967956209,95.6481036082442,16361.7806678129,2179.06922205491,5885.65495117101,4751.13689378526,10698.7063543076,1047.90059344972,650.437953592691,1881.47922717514,4706.94413305465,54283.5426594025,16197.5110640965,1024.53164667595
"BE","Belgium","BE","BEL","BE","BE23","Prov. Oost-Vlaanderen",2467.66022596988,196.902054736264,33682.5102757057,4215.29721638438,11431.4819762127,9190.82969936484,20868.2983924303,2027.10974479765,1258.23873214292,3639.62469329786,9105.34107908303,105882.443026258,31333.2511926602,1981.90372046014
"BE","Belgium","BE","BEL","BE","BE33","Prov. Liège",1153.85269396048,105.33795408111,18019.3483786198,2418.72417939698,6512.90247918379,5273.66894466369,11800.238616024,1163.14914520756,721.973395626478,2088.40511065095,5224.6158453626,59872.5430057402,17978.9202014589,1137.21007175515
"BE","Belgium","BE","BEL","BE","BE34","Prov. Luxembourg (BE)",730.649375119808,18.4001383163545,3147.56922544634,561.450902709751,1487.22991115094,1224.16032997694,2647.07111538621,269.998184632063,167.589433371428,484.77496714444,1212.77378697303,13430.8198632524,4173.39069201859,263.977028383921
"BE","Belgium","BE","BEL","BE","BE35","Prov. Namur",912.015018240786,24.2448296762939,4147.37533236164,1128.53775670339,2909.79971714532,2460.60901491086,5022.67658483196,542.706662555987,336.8611614504,974.416197902109,2437.72162861186,25484.2660063599,8388.67467606914,530.603908544472
"BE","Belgium","BE","BEL","BE","BE31","Prov. Brabant Wallon",422.700667134551,145.300369270596,24855.4093941576,1381.03083398724,4178.77545776872,3011.13268013771,8460.46868042974,664.128984917177,412.228698572492,1192.42693161671,2983.12459090848,42927.078968546,10265.5124430935,649.318424644129
"BE","Belgium","BE","BEL","BE","BE32","Prov. Hainaut",1223.05863718432,91.2520778613566,15609.7865731341,2696.88903915145,7117.88994920419,5880.16611986026,12617.9832188147,1296.91686523377,805.003792416478,2328.58169616785,5825.47167930832,64021.6496883635,20046.5820948553,1267.99467415658
"BE","Belgium","BE","BEL","BE","BE24","Prov. Vlaams-Brabant",1151.55545493485,86.7196573209493,14834.4604769662,4320.39954709399,11063.8616278171,9419.98972604188,18944.6509335763,2077.65279024514,1289.6110925125,3730.37346344079,9332.36957083391,96122.1602933539,32114.5004284811,2031.31961916658
"BE","Belgium","BE","BEL","BE","BE25","Prov. West-Vlaanderen",4342.40138904064,172.803904418847,29560.2262458153,3426.44560829644,9404.18201323478,7470.85589542389,17382.3691833086,1647.75600059691,1022.77167104187,2958.50456231757,7401.36563353077,88195.3899691532,25469.5399710932,1611.00984116651
