"CNTR_NAME","CNTR_CODE_Eurostat","CNTR_CODE_iso2","CNTR_CODE_iso3","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"Denmark","DK","DK","DNK",43237.1027560141,41483.4829737274,146136.750387991,73211.8717741358,42495.1370479153,30575.5535615935,43037.5090042814,7569.1904384773,34775.6087892857,9951.03993989583,13402.9035112264,630693.76509955,199741.414334096,25951.2503311041
"Estonia","EE","EE","EST",4527.82186549537,1606.81473740002,21778.4171748976,9485.69195497363,4041.038722285,4849.90183434932,4645.09112527775,993.369744293088,1706.88151494015,600.249777154843,3017.34605265753,45657.1241760335,19924.2198243775,4166.83892154178
"Greece","EL","GR","GRC",31575.3993216834,20215.9271308157,56475.0648015877,36101.7941671905,36516.5186169767,37137.2691505186,23009.2628661726,26356.0218248399,31837.4285253467,9073.12486862635,6130.2921710831,526969.557901956,222342.891300967,12746.4868424334
"Spain","ES","ES","ESP",108855.316146834,48214.9024786927,865875.693793454,239401.276232052,588685.059957107,337370.865735233,267952.954962414,116918.821719434,144990.108616096,7878.64048884722,119884.325175476,3021787.46719086,1262381.93307471,225432.734675828
"Finland","FI","FI","FIN",27160.1681456535,11166.9160988185,91910.1136374639,36937.9979062206,24933.7408123623,15945.9321888108,10357.5004052192,3155.00719316948,7249.00462240132,890.162743787104,5660.23314298382,389461.067806872,191848.851090842,30830.8054108711
"France","FR","FR","FRA",258989.306534047,124170.087186421,869285.593433599,181897.121463335,473359.112211947,242859.096100752,174135.544170851,133399.728233963,90569.3425881754,276733.554189493,228895.362592734,7045875.21946881,3373319.04700535,377630.389021924
"Croatia","HR","HR","HRV",5685.18899320867,826.799700938956,51723.8866507248,10328.2325082956,21673.6709373227,15861.5010259067,21976.5151113576,17927.8435361844,3419.67772995756,3086.66437553529,4363.30479936148,145485.43469543,44351.0076532292,3087.19976678034
"Hungary","HU","HU","HUN",52856.4489058412,4593.39267174693,204774.385932964,23945.8210542297,30400.3828047371,28445.8237984168,42279.6232337739,8732.90855130006,26140.6611023623,7455.48841746627,17001.3006902969,341737.452032751,254287.897005076,35442.6022587337
"Ireland","IE","IE","IRL",26232.1401137945,4470.82481752243,157890.237073693,77195.2545270823,36745.0916872083,51796.9559098399,25322.4159819526,26777.6141270387,70312.3281608978,85731.6121536244,21179.5370856961,456577.220573773,423684.115804253,13210.5226161922
"Iceland","IS","IS","ISL",2881.32855606652,334.036251496726,11796.7187471356,2215.96300679155,2107.913213914,1486.88075275858,7489.50394400289,768.676814127727,2018.38207646915,2461.00724984827,607.978702452581,33115.5817435741,12162.254440887,379.220582886928
"Italy","IT","IT","ITA",333808.90428826,224337.136516545,1139378.65827811,397264.518244832,312068.077355764,270645.570365633,432525.239432513,179037.320781265,113632.13210664,213518.995055723,152848.070182789,4494859.65118969,1581214.26167263,77817.0945538853
"Liechtenstein","LI","LI","LIE",58.460332610467,43.0781152969677,5529.12450074254,478.68250174671,731.762303883311,386.186990143734,666.612913795901,117.820497542513,218.989844037543,453.248684754575,224.572877035817,10530.0911688261,3334.33314017942,405.994241716556
"Lithuania","LT","LT","LTU",13474.8908299442,1813.08496962938,43762.3998823518,17568.8604550473,12890.128076838,12464.2331409964,13727.7169163513,2268.7232506893,10351.4705885494,2091.72468847553,7104.90742046356,76950.3350840569,65252.160913495,1787.9379327267
"Luxembourg","LU","LU","LUX",5269.34657873297,246.079570018772,31584.5893058083,11457.7867993164,7974.04574434036,9243.80603341538,3750.92983281976,2820.16187453163,5241.76032138606,10849.0007009624,5375.39629419547,70761.0446827337,79810.8936480119,9717.91416307061
"Latvia","LV","LV","LVA",30332.8615947312,1758.98428931193,43440.5541714651,16406.3229564671,10253.2633921444,11749.8345822138,14785.9780972763,5192.17842895221,4714.48428664544,2793.75575612029,4818.80829473543,61459.8411097196,60665.7833886432,4842.14392812397
"Moldova (the Republic of)","MD","MD","MDA",2215.14619032617,641.57773694067,2923.53206091689,1676.93057815921,2293.79986447272,1910.25585615506,4810.07644361538,358.043994933092,731.524536664839,334.551370195126,656.00200792257,22811.9843018816,9766.30067580613,1348.47089646946
"Montenegro","ME","ME","MNE",1053.86460696325,16.574342972981,1036.87681099924,324.818916796922,904.723610832314,498.838071070738,540.976872216618,563.823743631917,107.547541667676,97.0744005009306,137.224247948044,8814.26648497395,1394.82203302482,97.0912383484655
"North Macedonia","MK","MK","MKD",2262.60610368246,894.041112783053,2497.58665298815,691.013789721092,1635.57597867934,710.833510842908,1134.27336314461,504.472836967919,609.390825242366,173.666005934411,117.338113602328,27882.4261587819,4255.79967643426,243.976743588681
"Malta","MT","MT","MLT",278.422978133303,0,6968.0747739942,0,2536.94280309921,1875.71245587382,1902.21256948189,2102.46590851102,798.201762003656,876.418132499841,1023.72151794534,14612.0533298687,8805.38679462889,1151.28575626246
"Netherlands (the)","NL","NL","NLD",104841.842559098,135363.291168268,335473.908039955,95322.8528269714,97210.2732563999,76384.478423716,78641.3899478682,12986.5695931586,58699.1155594284,29852.9999159066,29331.6576148718,1491374.85446831,938906.158875191,14798.9612834512
"Norway","NO","NO","NOR",34351.1509158374,10127.0141817271,147284.481640118,70703.1902571446,41633.1961959277,19503.5656951292,17179.5511471946,5327.29732035943,32630.3872402769,6834.5639470979,11350.5028492343,625329.155472373,173054.556296115,20832.9018741478
"Poland","PL","PL","POL",190958.442268907,164592.599583879,1247617.74971828,234184.959440311,93259.0756241245,178506.891039824,599405.449054662,44818.3645918728,51417.0957546792,31854.6781179597,47834.3449111864,684625.513954712,337399.716289646,92934.056022256
"Portugal","PT","PT","PRT",27862.3517329851,9270.90556886287,158951.102923388,47897.9075131236,49433.2305531939,47376.8080778928,54370.0824367641,36894.8954917995,18759.23919171,19465.3876586611,16957.4370282069,555018.008454509,186204.439060048,18021.5966393235
"Romania","RO","RO","ROU",103899.037234941,100192.87606128,456557.434236082,95068.8518236832,76493.1027862652,108296.570710447,89823.4089218849,20298.2949586491,41471.721422075,18966.4468253682,37190.1845547409,275860.271623281,553672.885393351,76447.7561055206
"Sweden","SE","SE","SWE",76651.127004103,22384.5135119839,325554.147571707,175495.592251207,67832.8570854181,48410.6841604809,31342.7894052828,13223.1260701885,80993.3627222706,16964.3808619158,28173.5974378341,877528.903845189,429546.555657545,51710.2897255105
"Slovenia","SI","SI","SVN",6030.10671625934,961.135424575385,44974.0219587696,9752.96072655961,7217.95863136655,9439.95472424486,11751.0453403366,4098.91091614316,3914.17037043446,2529.25441421919,3603.07877791979,87481.9023840743,37947.7501256884,3210.94383720131
"Slovakia","SK","SK","SVK",18112.4556515916,16024.1796511293,169522.075809401,47289.588704026,13515.4575327492,18772.0301096074,29919.2329624496,3817.19306597647,7275.80874732694,2988.72089981045,8050.56630928994,182800.457766259,86101.1983768464,5297.00881072216
"Serbia","RS","RS","SRB",25578.3414225,4173.35303869846,11658.6482418176,4693.13040773351,6191.43064384382,4827.73920607187,19508.5674537849,3426.2077635315,4138.7750211079,1179.48038861768,796.920520436277,95947.8990232756,28903.9425374675,1657.00698184039
"Turkey","TR","TR","TUR",187089.953217,55959.137609068,156327.033742407,56738.7897276366,98715.4205084156,58366.1769171818,273452.40094347,41422.0072678724,50036.7697572769,14259.6271451083,9634.57264348838,1613374.90227121,349441.540177671,20032.805942265
"United Kingdom","UK","GB","GBR",125124.750493363,878069.487210452,531103.325273331,327169.387734014,405529.059469836,321461.62160897,376260.209759146,138559.232574379,101169.862758329,166030.045611786,139481.346120143,3889816.08857157,1514057.91668906,180255.689711781
