ENDW_COMMi,PROD_COMMj,REGr,Value
capital,ctl,anuz,0
capital,ctl,aut,0
capital,ctl,bel,0
capital,ctl,bgr,0
capital,ctl,blr,0
capital,ctl,bra,0
capital,ctl,can_xna,0
capital,ctl,cas,0
capital,ctl,che,0
capital,ctl,chn,0
capital,ctl,cyp,0
capital,ctl,cze,0
capital,ctl,deu,0
capital,ctl,dnk,0
capital,ctl,esp,0
capital,ctl,est,0
capital,ctl,fin,0
capital,ctl,fra,0
capital,ctl,gbr,0
capital,ctl,grc,0
capital,ctl,hrv,0
capital,ctl,hun,0
capital,ctl,idn,0
capital,ctl,ind,0
capital,ctl,irl,0
capital,ctl,ita,0
capital,ctl,jpn,0
capital,ctl,kor,0
capital,ctl,lam_l,0
capital,ctl,lam_m,0
capital,ctl,ltu,0
capital,ctl,lux,0
capital,ctl,lva,0
capital,ctl,mea_h,0
capital,ctl,mea_m,0
capital,ctl,mex,0
capital,ctl,mlt,0
capital,ctl,naf,0
capital,ctl,nld,0
capital,ctl,nor,0
capital,ctl,oas_cpa,0
capital,ctl,oas_l,0
capital,ctl,oas_m,0
capital,ctl,pak,0
capital,ctl,pol,0
capital,ctl,prt,0
capital,ctl,rou,0
capital,ctl,rus,0
capital,ctl,ssa_l,0
capital,ctl,ssa_m,0
capital,ctl,svk,0
capital,ctl,svn,0
capital,ctl,swe,0
capital,ctl,tur,0
capital,ctl,twn,0
capital,ctl,ukr,0
capital,ctl,usa,0
capital,ctl,xee,0
capital,ctl,xef,0
capital,ctl,xer,0
capital,ctl,zaf,0
capital,eqm,alb,0
capital,eqm,anuz,0
capital,eqm,aut,0
capital,eqm,bel,0
capital,eqm,bgr,0
capital,eqm,blr,0
capital,eqm,bra,0
capital,eqm,can_xna,0
capital,eqm,cas,0
capital,eqm,che,0
capital,eqm,chn,0
capital,eqm,cyp,0
capital,eqm,cze,0
capital,eqm,deu,0
capital,eqm,dnk,0
capital,eqm,esp,0
capital,eqm,est,0
capital,eqm,fin,0
capital,eqm,fra,0
capital,eqm,gbr,0
capital,eqm,grc,0
capital,eqm,hrv,0
capital,eqm,hun,0
capital,eqm,idn,0
capital,eqm,ind,0
capital,eqm,irl,0
capital,eqm,ita,0
capital,eqm,jpn,0
capital,eqm,kor,0
capital,eqm,lam_l,0
capital,eqm,lam_m,0
capital,eqm,ltu,0
capital,eqm,lux,0
capital,eqm,lva,0
capital,eqm,mea_h,0
capital,eqm,mea_m,0
capital,eqm,mex,0
capital,eqm,mlt,0
capital,eqm,naf,0
capital,eqm,nld,0
capital,eqm,nor,0
capital,eqm,oas_cpa,0
capital,eqm,oas_l,0
capital,eqm,oas_m,0
capital,eqm,pak,0
capital,eqm,pol,0
capital,eqm,prt,0
capital,eqm,rou,0
capital,eqm,rus,0
capital,eqm,ssa_l,0
capital,eqm,ssa_m,0
capital,eqm,svk,0
capital,eqm,svn,0
capital,eqm,swe,0
capital,eqm,tur,0
capital,eqm,twn,0
capital,eqm,ukr,0
capital,eqm,usa,0
capital,eqm,xee,0
capital,eqm,xef,0
capital,eqm,xer,0
capital,eqm,zaf,0
capital,fin,alb,0
capital,fin,anuz,0
capital,fin,aut,0
capital,fin,bel,0
capital,fin,bgr,0
capital,fin,blr,0
capital,fin,bra,0
capital,fin,can_xna,0
capital,fin,cas,0
capital,fin,che,0
capital,fin,chn,0
capital,fin,cyp,0
capital,fin,cze,0
capital,fin,deu,0
capital,fin,dnk,0
capital,fin,esp,0
capital,fin,est,0
capital,fin,fin,0
capital,fin,fra,0
capital,fin,gbr,0
capital,fin,grc,0
capital,fin,hrv,0
capital,fin,hun,0
capital,fin,idn,0
capital,fin,ind,0
capital,fin,irl,0
capital,fin,ita,0
capital,fin,jpn,0
capital,fin,kor,0
capital,fin,lam_l,0
capital,fin,lam_m,0
capital,fin,ltu,0
capital,fin,lux,0
capital,fin,lva,0
capital,fin,mea_h,0
capital,fin,mea_m,0
capital,fin,mex,0
capital,fin,mlt,0
capital,fin,naf,0
capital,fin,nld,0
capital,fin,nor,0
capital,fin,oas_cpa,0
capital,fin,oas_l,0
capital,fin,oas_m,0
capital,fin,pak,0
capital,fin,pol,0
capital,fin,prt,0
capital,fin,rou,0
capital,fin,rus,0
capital,fin,ssa_l,0
capital,fin,ssa_m,0
capital,fin,svk,0
capital,fin,svn,0
capital,fin,swe,0
capital,fin,tur,0
capital,fin,twn,0
capital,fin,ukr,0
capital,fin,usa,0
capital,fin,xee,0
capital,fin,xef,0
capital,fin,xer,0
capital,fin,zaf,0
capital,frs,alb,0
capital,frs,anuz,0
capital,frs,aut,0
capital,frs,bel,0
capital,frs,bgr,0
capital,frs,blr,0
capital,frs,bra,0
capital,frs,can_xna,0
capital,frs,cas,0
capital,frs,che,0
capital,frs,chn,0
capital,frs,cyp,0
capital,frs,cze,0
capital,frs,deu,0
capital,frs,dnk,0
capital,frs,esp,0
capital,frs,est,0
capital,frs,fin,0
capital,frs,fra,0
capital,frs,gbr,0
capital,frs,grc,0
capital,frs,hrv,0
capital,frs,hun,0
capital,frs,idn,0
capital,frs,ind,0
capital,frs,irl,0
capital,frs,ita,0
capital,frs,jpn,0
capital,frs,kor,0
capital,frs,lam_l,0
capital,frs,lam_m,0
capital,frs,ltu,0
capital,frs,lux,0
capital,frs,lva,0
capital,frs,mea_h,0
capital,frs,mea_m,0
capital,frs,mex,0
capital,frs,mlt,0
capital,frs,naf,0
capital,frs,nld,0
capital,frs,nor,0
capital,frs,oas_cpa,0
capital,frs,oas_l,0
capital,frs,oas_m,0
capital,frs,pak,0
capital,frs,pol,0
capital,frs,prt,0
capital,frs,rou,0
capital,frs,rus,0
capital,frs,ssa_l,0
capital,frs,ssa_m,0
capital,frs,svk,0
capital,frs,svn,0
capital,frs,swe,0
capital,frs,tur,0
capital,frs,twn,0
capital,frs,ukr,0
capital,frs,usa,0
capital,frs,xee,0
capital,frs,xef,0
capital,frs,xer,0
capital,frs,zaf,0
capital,fsh,alb,0
capital,fsh,anuz,0
capital,fsh,aut,0
capital,fsh,bel,0
capital,fsh,bgr,0
capital,fsh,blr,0
capital,fsh,bra,0
capital,fsh,can_xna,0
capital,fsh,cas,0
capital,fsh,che,0
capital,fsh,chn,0
capital,fsh,cyp,0
capital,fsh,cze,0
capital,fsh,deu,0
capital,fsh,dnk,0
capital,fsh,esp,0
capital,fsh,est,0
capital,fsh,fin,0
capital,fsh,fra,0
capital,fsh,gbr,0
capital,fsh,grc,0
capital,fsh,hrv,0
capital,fsh,hun,0
capital,fsh,idn,0
capital,fsh,ind,0
capital,fsh,irl,0
capital,fsh,ita,0
capital,fsh,jpn,0
capital,fsh,kor,0
capital,fsh,lam_l,0
capital,fsh,lam_m,0
capital,fsh,ltu,0
capital,fsh,lux,0
capital,fsh,lva,0
capital,fsh,mea_h,0
capital,fsh,mea_m,0
capital,fsh,mex,0
capital,fsh,mlt,0
capital,fsh,naf,0
capital,fsh,nld,0
capital,fsh,nor,0
capital,fsh,oas_cpa,0
capital,fsh,oas_l,0
capital,fsh,oas_m,0
capital,fsh,pak,0
capital,fsh,pol,0
capital,fsh,prt,0
capital,fsh,rou,0
capital,fsh,rus,0
capital,fsh,ssa_l,0
capital,fsh,ssa_m,0
capital,fsh,svk,0
capital,fsh,svn,0
capital,fsh,swe,0
capital,fsh,tur,0
capital,fsh,twn,0
capital,fsh,ukr,0
capital,fsh,usa,0
capital,fsh,xee,0
capital,fsh,xef,0
capital,fsh,xer,0
capital,fsh,zaf,0
capital,gro,alb,0
capital,gro,anuz,0
capital,gro,aut,0
capital,gro,bel,0
capital,gro,bgr,0
capital,gro,blr,0
capital,gro,bra,0
capital,gro,can_xna,0
capital,gro,cas,0
capital,gro,che,0
capital,gro,chn,0
capital,gro,cyp,0
capital,gro,cze,0
capital,gro,deu,0
capital,gro,dnk,0
capital,gro,esp,0
capital,gro,est,0
capital,gro,fin,0
capital,gro,fra,0
capital,gro,gbr,0
capital,gro,grc,0
capital,gro,hrv,0
capital,gro,hun,0
capital,gro,idn,0
capital,gro,ind,0
capital,gro,irl,0
capital,gro,ita,0
capital,gro,jpn,0
capital,gro,kor,0
capital,gro,lam_l,0
capital,gro,lam_m,0
capital,gro,ltu,0
capital,gro,lux,0
capital,gro,lva,0
capital,gro,mea_h,0
capital,gro,mea_m,0
capital,gro,mex,0
capital,gro,mlt,0
capital,gro,naf,0
capital,gro,nld,0
capital,gro,nor,0
capital,gro,oas_cpa,0
capital,gro,oas_l,0
capital,gro,oas_m,0
capital,gro,pak,0
capital,gro,pol,0
capital,gro,prt,0
capital,gro,rou,0
capital,gro,rus,0
capital,gro,ssa_l,0
capital,gro,ssa_m,0
capital,gro,svk,0
capital,gro,svn,0
capital,gro,swe,0
capital,gro,tur,0
capital,gro,twn,0
capital,gro,ukr,0
capital,gro,usa,0
capital,gro,xee,0
capital,gro,xef,0
capital,gro,xer,0
capital,gro,zaf,0
capital,mil,alb,0
capital,mil,anuz,0
capital,mil,aut,0
capital,mil,bel,0
capital,mil,bgr,0
capital,mil,blr,0
capital,mil,bra,0
