ENDW_COMMi,PROD_COMMj,REGr,Value
capital,ocr,efta,0
capital,ocr,eu12_h,0
capital,ocr,eu12_m,0
capital,ocr,eu15,0
capital,ocr,idn,0
capital,ocr,ind,0
capital,ocr,jpn,0
capital,ocr,kor,0
capital,ocr,lam_l,0
capital,ocr,lam_m,0
capital,ocr,mea_h,0
capital,ocr,mea_m,0
capital,ocr,mex,0
capital,ocr,naf,0
capital,ocr,oas_cpa,0
capital,ocr,oas_l,0
capital,ocr,oas_m,0
capital,ocr,pak,0
capital,ocr,rus,0
capital,ocr,ssa_l,0
capital,ocr,ssa_m,0
capital,ocr,tur,0
capital,ocr,twn,0
capital,ocr,usa,0
capital,ocr,zaf,0
capital,ofd,anuz,0
capital,ofd,bra,0
capital,ofd,can_xna,0
capital,ofd,cas,0
capital,ofd,chn,0
capital,ofd,eeu,0
capital,ofd,eeu_fsu,0
capital,ofd,efta,0
capital,ofd,eu12_h,0
capital,ofd,eu12_m,0
capital,ofd,eu15,0
capital,ofd,idn,0
capital,ofd,ind,0
capital,ofd,jpn,0
capital,ofd,kor,0
capital,ofd,lam_l,0
capital,ofd,lam_m,0
capital,ofd,mea_h,0
capital,ofd,mea_m,0
capital,ofd,mex,0
capital,ofd,naf,0
capital,ofd,oas_cpa,0
capital,ofd,oas_l,0
capital,ofd,oas_m,0
capital,ofd,pak,0
capital,ofd,rus,0
capital,ofd,ssa_l,0
capital,ofd,ssa_m,0
capital,ofd,tur,0
capital,ofd,twn,0
capital,ofd,usa,0
capital,ofd,zaf,0
capital,omf,anuz,0
capital,omf,bra,0
capital,omf,can_xna,0
capital,omf,cas,0
capital,omf,chn,0
capital,omf,eeu,0
capital,omf,eeu_fsu,0
capital,omf,efta,0
capital,omf,eu12_h,0
capital,omf,eu12_m,0
capital,omf,eu15,0
capital,omf,idn,0
capital,omf,ind,0
capital,omf,jpn,0
capital,omf,kor,0
capital,omf,lam_l,0
capital,omf,lam_m,0
capital,omf,mea_h,0
capital,omf,mea_m,0
capital,omf,mex,0
capital,omf,naf,0
capital,omf,oas_cpa,0
capital,omf,oas_l,0
capital,omf,oas_m,0
capital,omf,pak,0
capital,omf,rus,0
capital,omf,ssa_l,0
capital,omf,ssa_m,0
capital,omf,tur,0
capital,omf,twn,0
capital,omf,usa,0
capital,omf,zaf,0
capital,omt,anuz,0
capital,omt,bra,0
capital,omt,can_xna,0
capital,omt,cas,0
capital,omt,chn,0
capital,omt,eeu,0
capital,omt,eeu_fsu,0
