NUTS2 Code,ISO2,A,D,E,H
PL51,PL,10.5,0.1307448894,5.61,0.6909
PL52,PL,10.5,0.1307448894,5.76,0.6909
PL61,PL,11.01,0.1307448894,5.46,0.6909
PL62,PL,11.01,0.1307448894,5.67,0.6909
PL63,PL,11.01,0.1307448894,5.61,0.6909
PL71,PL,17.7,0.1307448894,5.52,0.6909
PL72,PL,13.17,0.1307448894,5.67,0.6909
PL81,PL,12.33,0.1307448894,5.67,0.6909
PL82,PL,13.23,0.1307448894,5.82,0.6909
PL84,PL,11.25,0.1307448894,5.55,0.6909
PL91,PL,12.66,0.1307448894,5.58,0.6909
PL92,PL,12.21,0.1307448894,5.58,0.6909
RO11,RO,14.82,5.127906816,6.39,0.45684
RO12,RO,15,5.127906816,6.84,0.45684
RO21,RO,16.74,5.127906816,6.51,0.45684
RO22,RO,19.98,5.127906816,7.23,0.45684
RO31,RO,19.8,5.127906816,6.99,0.45684
RO32,RO,22.47,5.127906816,6.78,0.45684
RO41,RO,19.26,5.127906816,6.93,0.45684
RO42,RO,14.91,5.127906816,6.69,0.45684
SI03,SI,15.21,4.0058410944,6.93,2.14602
SI04,SI,16.26,4.0058410944,7.23,2.14602
SK01,SK,19.53,2.9723288859,6.18,1.51152
SK02,SK,19.53,2.9723288859,6.42,1.51152
SK03,SK,19.53,2.9723288859,6.63,1.51152
SK04,SK,19.53,2.9723288859,6.63,1.51152
