"NUTS2.Code","ISO2","AGR","MIN","MFG","EGW","CNS","TRD","OTP","WTP","CMN","OFI","OBS","REA","PUB","OSG"
"HR02","HR",17.31,0,0,6.6256180416,0,0,1.67226,0,0,0,0,0,0,0
"HR03","HR",17.31,0,0,6.6256180416,0,0,1.67226,0,0,0,0,0,0,0
"HR05","HR",17.31,0,0,6.6256180416,0,0,1.67226,0,0,0,0,0,0,0
"HR06","HR",17.31,0,0,6.6256180416,0,0,1.67226,0,0,0,0,0,0,0
"ITC1","IT",9,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITC2","IT",9,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITC3","IT",17.25,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITC4","IT",12.84,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITF1","IT",12.15,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITF2","IT",13.35,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITF3","IT",16.65,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITF4","IT",12.57,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITF5","IT",9.42,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITF6","IT",12.99,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITG1","IT",20.76,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITG2","IT",13.05,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITH1","IT",17.55,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITH2","IT",0,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITH3","IT",9.69,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITH4","IT",8.52,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITH5","IT",8.97,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITI1","IT",11.22,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITI2","IT",9.9,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITI3","IT",11.61,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"ITI4","IT",16.17,0,0,2.13030426,0,0,0.38352,0,0,0,0,0,0,0
"HU11","HU",17.1,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU12","HU",18.33,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU21","HU",16.97,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU22","HU",10.53,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU23","HU",15.81,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU31","HU",16.62,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU32","HU",19.55,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"HU33","HU",18.01,0,0,0.292246364544,0,0,1.02366,0,0,0,0,0,0,0
"AT11","AT",16.26,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT12","AT",18.72,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT13","AT",14.19,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT21","AT",11.91,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT22","AT",15.48,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT31","AT",15,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT32","AT",11.67,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT33","AT",11.94,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"AT34","AT",11.13,0,0,5.996591406,0,0,1.47204,0,0,0,0,0,0,0
"PL21","PL",13.44,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL22","PL",12.84,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
"PL41","PL",12.57,0,0,0.1307448894,0,0,0.6909,0,0,0,0,0,0,0
